,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,1,5.1,3.5,1.4,,Iris-setosa
1,2,4.9,3.0,1.4,,Iris-setosa
2,2,4.9,3.0,1.4,,Iris-setosa
3,3,4.7,3.2,,0.2,Iris-setosa
4,4,4.6,3.1,1.5,0.2,Iris-setosa
5,5,5.0,3.6,1.4,0.2,Iris-setosa
6,6,5.4,3.9,1.7,0.4,Iris-setosa
7,7,4.6,,1.4,0.3,Iris-setosa
8,8,5.0,3.4,1.5,0.2,Iris-setosa
9,9,4.4,2.9,1.4,0.2,Iris-setosa
10,10,4.9,3.1,1.5,0.1,Iris-setosa
11,11,5.4,3.7,1.5,0.2,Iris-setosa
12,12,4.8,3.4,1.6,0.2,Iris-setosa
13,13,4.8,3.0,1.4,0.1,Iris-setosa
14,14,4.3,3.0,1.1,0.1,Iris-setosa
15,15,,4.0,1.2,0.2,Iris-setosa
16,16,5.7,4.4,1.5,0.4,Iris-setosa
17,17,5.4,3.9,1.3,0.4,Iris-setosa
18,18,5.1,3.5,1.4,0.3,Iris-setosa
19,19,5.7,3.8,1.7,,Iris-setosa
20,20,5.1,3.8,1.5,0.3,Iris-setosa
21,21,5.4,3.4,1.7,0.2,Iris-setosa
22,22,5.1,,1.5,0.4,Iris-setosa
23,23,4.6,3.6,1.0,0.2,Iris-setosa
24,24,5.1,3.3,1.7,0.5,Iris-setosa
25,25,4.8,3.4,1.9,0.2,Iris-setosa
26,26,5.0,3.0,1.6,0.2,Iris-setosa
27,27,5.0,3.4,1.6,0.4,Iris-setosa
28,28,5.2,3.5,1.5,0.2,Iris-setosa
29,29,5.2,3.4,1.4,0.2,Iris-setosa
30,30,4.7,3.2,1.6,0.2,Iris-setosa
31,31,4.8,3.1,1.6,0.2,Iris-setosa
32,32,5.4,3.4,1.5,0.4,Iris-setosa
33,33,5.2,4.1,1.5,0.1,Iris-setosa
34,34,5.5,4.2,1.4,0.2,Iris-setosa
35,35,4.9,3.1,1.5,0.1,Iris-setosa
36,35,4.9,3.1,1.5,0.1,Iris-setosa
37,36,5.0,3.2,1.2,0.2,Iris-setosa
38,37,5.5,3.5,1.3,0.2,Iris-setosa
39,38,4.9,3.1,1.5,0.1,Iris-setosa
40,39,4.4,3.0,1.3,0.2,Iris-setosa
41,40,5.1,3.4,1.5,0.2,Iris-setosa
42,41,5.0,3.5,1.3,0.3,Iris-setosa
43,42,4.5,2.3,1.3,0.3,Iris-setosa
44,43,4.4,3.2,1.3,0.2,Iris-setosa
45,44,5.0,3.5,1.6,0.6,Iris-setosa
46,45,5.1,3.8,1.9,0.4,Iris-setosa
47,46,4.8,3.0,1.4,0.3,Iris-setosa
48,47,5.1,3.8,1.6,0.2,Iris-setosa
49,48,4.6,3.2,1.4,0.2,Iris-setosa
50,49,5.3,3.7,1.5,0.2,Iris-setosa
51,50,5.0,3.3,1.4,0.2,Iris-setosa
52,51,7.0,3.2,4.7,1.4,Iris-versicolor
53,52,6.4,3.2,4.5,1.5,Iris-versicolor
54,53,6.9,3.1,4.9,1.5,Iris-versicolor
55,54,5.5,2.3,4.0,1.3,Iris-versicolor
56,55,6.5,2.8,4.6,1.5,Iris-versicolor
57,56,5.7,2.8,4.5,1.3,Iris-versicolor
58,57,6.3,3.3,4.7,1.6,Iris-versicolor
59,58,4.9,2.4,3.3,1.0,Iris-versicolor
60,59,6.6,2.9,4.6,1.3,Iris-versicolor
61,60,5.2,,3.9,1.4,Iris-versicolor
62,61,5.0,2.0,3.5,1.0,Iris-versicolor
63,61,5.0,2.0,3.5,1.0,Iris-versicolor
64,62,5.9,3.0,4.2,1.5,Iris-versicolor
65,63,6.0,2.2,4.0,1.0,Iris-versicolor
66,64,6.1,2.9,4.7,1.4,Iris-versicolor
67,65,5.6,2.9,3.6,1.3,Iris-versicolor
68,66,6.7,3.1,4.4,1.4,Iris-versicolor
69,67,5.6,3.0,4.5,1.5,Iris-versicolor
70,68,5.8,2.7,4.1,1.0,Iris-versicolor
71,69,6.2,2.2,4.5,1.5,Iris-versicolor
72,70,5.6,2.5,3.9,1.1,Iris-versicolor
73,71,5.9,3.2,4.8,1.8,Iris-versicolor
74,72,6.1,2.8,4.0,1.3,Iris-versicolor
75,73,6.3,2.5,4.9,1.5,Iris-versicolor
76,74,6.1,2.8,4.7,1.2,Iris-versicolor
