,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,1,5.1,3.5,1.4,,Iris-setosa
1,2,4.9,3.0,1.4,,Iris-setosa
2,2,4.9,3.0,1.4,,Iris-setosa
3,3,4.7,3.2,,0.2,Iris-setosa
4,4,4.6,3.1,1.5,0.2,Iris-setosa
5,5,5.0,3.6,1.4,0.2,Iris-setosa
6,6,5.4,3.9,1.7,0.4,Iris-setosa
7,7,4.6,,1.4,0.3,Iris-setosa
8,8,5.0,3.4,1.5,0.2,Iris-setosa
9,9,4.4,2.9,1.4,0.2,Iris-setosa
10,10,4.9,3.1,1.5,0.1,Iris-setosa
11,11,5.4,3.7,1.5,0.2,Iris-setosa
12,12,4.8,3.4,1.6,0.2,Iris-setosa
13,13,4.8,3.0,1.4,0.1,Iris-setosa
14,14,4.3,3.0,1.1,0.1,Iris-setosa
15,15,,4.0,1.2,0.2,Iris-setosa
16,16,5.7,4.4,1.5,0.4,Iris-setosa
17,17,5.4,3.9,1.3,0.4,Iris-setosa
18,18,5.1,3.5,1.4,0.3,Iris-setosa
19,19,5.7,3.8,1.7,,Iris-setosa
20,20,5.1,3.8,1.5,0.3,Iris-setosa
21,21,5.4,3.4,1.7,0.2,Iris-setosa
22,22,5.1,,1.5,0.4,Iris-setosa
23,23,4.6,3.6,1.0,0.2,Iris-setosa
24,24,5.1,3.3,1.7,0.5,Iris-setosa
25,25,4.8,3.4,1.9,0.2,Iris-setosa
26,26,5.0,3.0,1.6,0.2,Iris-setosa
27,27,5.0,3.4,1.6,0.4,Iris-setosa
28,28,5.2,3.5,1.5,0.2,Iris-setosa
29,29,5.2,3.4,1.4,0.2,Iris-setosa
30,30,4.7,3.2,1.6,0.2,Iris-setosa
31,31,4.8,3.1,1.6,0.2,Iris-setosa
32,32,5.4,3.4,1.5,0.4,Iris-setosa
33,33,5.2,4.1,1.5,0.1,Iris-setosa
34,34,5.5,4.2,1.4,0.2,Iris-setosa
35,35,4.9,3.1,1.5,0.1,Iris-setosa
36,35,4.9,3.1,1.5,0.1,Iris-setosa
37,36,5.0,3.2,1.2,0.2,Iris-setosa
