,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
38,37,5.5,3.5,1.3,0.2,Iris-setosa
39,38,4.9,3.1,1.5,0.1,Iris-setosa
40,39,4.4,3.0,1.3,0.2,Iris-setosa
41,40,5.1,3.4,1.5,0.2,Iris-setosa
42,41,5.0,3.5,1.3,0.3,Iris-setosa
43,42,4.5,2.3,1.3,0.3,Iris-setosa
44,43,4.4,3.2,1.3,0.2,Iris-setosa
45,44,5.0,3.5,1.6,0.6,Iris-setosa
46,45,5.1,3.8,1.9,0.4,Iris-setosa
47,46,4.8,3.0,1.4,0.3,Iris-setosa
48,47,5.1,3.8,1.6,0.2,Iris-setosa
49,48,4.6,3.2,1.4,0.2,Iris-setosa
50,49,5.3,3.7,1.5,0.2,Iris-setosa
51,50,5.0,3.3,1.4,0.2,Iris-setosa
52,51,7.0,3.2,4.7,1.4,Iris-versicolor
53,52,6.4,3.2,4.5,1.5,Iris-versicolor
54,53,6.9,3.1,4.9,1.5,Iris-versicolor
55,54,5.5,2.3,4.0,1.3,Iris-versicolor
56,55,6.5,2.8,4.6,1.5,Iris-versicolor
57,56,5.7,2.8,4.5,1.3,Iris-versicolor
58,57,6.3,3.3,4.7,1.6,Iris-versicolor
59,58,4.9,2.4,3.3,1.0,Iris-versicolor
60,59,6.6,2.9,4.6,1.3,Iris-versicolor
61,60,5.2,,3.9,1.4,Iris-versicolor
62,61,5.0,2.0,3.5,1.0,Iris-versicolor
63,61,5.0,2.0,3.5,1.0,Iris-versicolor
64,62,5.9,3.0,4.2,1.5,Iris-versicolor
65,63,6.0,2.2,4.0,1.0,Iris-versicolor
66,64,6.1,2.9,4.7,1.4,Iris-versicolor
67,65,5.6,2.9,3.6,1.3,Iris-versicolor
68,66,6.7,3.1,4.4,1.4,Iris-versicolor
69,67,5.6,3.0,4.5,1.5,Iris-versicolor
70,68,5.8,2.7,4.1,1.0,Iris-versicolor
71,69,6.2,2.2,4.5,1.5,Iris-versicolor
72,70,5.6,2.5,3.9,1.1,Iris-versicolor
73,71,5.9,3.2,4.8,1.8,Iris-versicolor
74,72,6.1,2.8,4.0,1.3,Iris-versicolor
75,73,6.3,2.5,4.9,1.5,Iris-versicolor
