,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
114,112,6.4,2.7,5.3,1.9,Iris-virginica
115,113,6.8,3.0,5.5,2.1,Iris-virginica
116,114,5.7,2.5,5.0,2.0,Iris-virginica
117,115,5.8,2.8,5.1,2.4,Iris-virginica
118,116,6.4,3.2,5.3,2.3,Iris-virginica
119,117,6.5,3.0,5.5,1.8,Iris-virginica
120,118,7.7,3.8,6.7,2.2,Iris-virginica
121,119,7.7,2.6,6.9,2.3,Iris-virginica
122,120,6.0,2.2,5.0,1.5,Iris-virginica
123,121,6.9,3.2,5.7,2.3,Iris-virginica
124,122,5.6,2.8,4.9,2.0,Iris-virginica
125,123,7.7,2.8,6.7,2.0,Iris-virginica
126,124,6.3,2.7,4.9,1.8,Iris-virginica
127,125,6.7,3.3,5.7,2.1,Iris-virginica
128,126,7.2,3.2,6.0,,Iris-virginica
129,127,6.2,2.8,4.8,1.8,Iris-virginica
130,128,6.1,3.0,4.9,1.8,Iris-virginica
131,129,6.4,2.8,5.6,2.1,Iris-virginica
132,130,7.2,3.0,5.8,1.6,Iris-virginica
133,131,7.4,2.8,6.1,1.9,Iris-virginica
134,132,7.9,3.8,6.4,2.0,Iris-virginica
135,133,6.4,2.8,5.6,2.2,Iris-virginica
136,134,6.3,2.8,5.1,1.5,Iris-virginica
137,135,6.1,2.6,5.6,1.4,Iris-virginica
138,135,6.1,2.6,5.6,1.4,Iris-virginica
139,136,7.7,3.0,6.1,2.3,Iris-virginica
140,137,6.3,3.4,5.6,2.4,Iris-virginica
141,138,6.4,3.1,5.5,1.8,Iris-virginica
142,139,6.0,3.0,4.8,1.8,Iris-virginica
143,140,6.9,3.1,5.4,2.1,Iris-virginica
144,141,6.7,3.1,5.6,,Iris-virginica
145,142,6.9,3.1,5.1,2.3,Iris-virginica
146,143,5.8,2.7,5.1,1.9,Iris-virginica
147,144,6.8,3.2,5.9,2.3,Iris-virginica
148,145,6.7,3.3,5.7,2.5,Iris-virginica
149,146,6.7,3.0,5.2,2.3,Iris-virginica
150,147,6.3,,5.0,1.9,Iris-virginica
151,148,6.5,3.0,5.2,2.0,Iris-virginica
